时间,水位,流量
2007/7/29 5:00,7.76,46.5
2007/7/29 5:30,7.92,78
2007/7/29 6:00,8.11,129
2007/7/29 6:12,8.13,136
2007/7/29 6:30,8.43,265
2007/7/29 6:42,8.5,313
2007/7/29 7:00,8.7,471
2007/7/29 7:06,8.83,578
2007/7/29 7:12,9,733
2007/7/29 7:42,9.15,875
2007/7/29 8:00,9.18,904
2007/7/29 8:12,9.25,972
2007/7/29 8:30,9.3,1020
2007/7/29 8:36,9.35,1060
2007/7/29 9:00,9.4,1110
2007/7/29 9:06,9.45,1160
2007/7/29 9:12,9.6,1320
2007/7/29 9:42,9.96,1680
2007/7/29 9:48,10.01,1730
2007/7/29 10:00,10.07,1790
2007/7/29 10:06,10.11,1840
2007/7/29 10:30,10.17,1900
2007/7/29 11:00,10.17,1900
2007/7/29 11:54,10.09,1820
2007/7/29 12:00,10.07,1790
2007/7/29 12:06,10.09,1820
2007/7/29 12:18,10.21,1940
2007/7/29 13:00,10.37,2110
2007/7/29 14:00,10.47,2210
2007/7/29 14:56,10.47,2210
2007/7/29 15:00,10.42,2170
2007/7/29 15:30,10.36,2120
2007/7/29 16:00,10.24,2010
2007/7/29 17:30,9.89,1710
2007/7/29 18:00,9.82,1660
2007/7/29 20:00,9.49,1380
2007/7/29 21:00,9.3,1220
2007/7/29 21:46,9.21,1150
2007/7/29 22:00,9.21,1150
2007/7/29 22:30,9.11,1070
2007/7/29 23:00,9.11,1070
2007/7/29 23:30,9.06,1030
2007/7/30 0:00,9.03,1010
2007/7/30 1:00,9.02,1000
2007/7/30 2:00,9.13,1080
2007/7/30 3:00,9.38,1290
2007/7/30 3:30,9.43,1330
2007/7/30 4:00,9.54,1420
2007/7/30 4:30,9.55,1430
2007/7/30 5:00,9.51,1400
2007/7/30 6:00,9.36,1270
2007/7/30 7:00,9.36,1270
2007/7/30 8:00,9.39,1300
2007/7/30 9:00,9.39,1300
2007/7/30 12:00,9.14,1090
2007/7/30 15:00,8.81,834
2007/7/30 15:45,8.78,810
2007/7/30 16:00,8.74,779
2007/7/30 17:00,8.65,712
2007/7/30 18:00,8.53,628
2007/7/30 19:00,8.46,577
2007/7/30 20:00,8.46,577
2007/7/30 22:00,8.34,497
2007/7/30 23:00,8.32,485
2007/7/31 0:00,8.31,479
2007/7/31 4:00,8.19,405
2007/7/31 8:00,8.08,339
2007/7/31 10:00,8.05,322
2007/7/31 12:00,8.04,316
2007/7/31 16:00,7.94,262
2007/7/31 16:30,7.94,262
2007/7/31 17:36,7.92,252
2007/7/31 18:00,7.89,237
2007/7/31 19:00,7.87,227
2007/7/31 20:00,7.84,214
2007/7/31 22:00,7.82,206
2007/8/1 4:00,7.75,178
2007/8/1 6:00,7.75,178
2007/8/1 8:00,7.78,190
2007/8/1 10:00,7.79,194
2007/8/1 12:00,7.81,202
2007/8/1 14:00,7.79,194
2007/8/1 16:00,7.78,190
2007/8/1 20:00,7.72,166
2007/8/2 8:00,7.65,142
2007/8/2 20:00,7.55,111
2007/8/3 8:00,7.48,93
2007/8/4 0:00,7.39,71.7
2007/8/4 8:00,7.39,71.7
2007/8/4 11:00,7.37,67.3
2007/8/5 8:00,7.33,59.2
2007/8/5 20:00,7.27,49.1
2007/8/6 8:00,7.25,46
