时间,水位,流量
2009/5/27 18:00,7.01,20
2009/5/27 19:00,7.09,26.1
2009/5/27 19:30,7.17,34.4
2009/5/27 20:00,7.27,49.6
2009/5/27 21:00,7.42,79.8
2009/5/27 22:00,7.47,91.5
2009/5/28 0:00,7.49,96.5
2009/5/28 3:00,7.52,106
2009/5/28 4:00,7.54,112
2009/5/28 4:30,7.57,121
2009/5/28 4:48,7.71,173
2009/5/28 5:12,7.95,273
2009/5/28 5:30,8.03,311
2009/5/28 5:42,8.12,361
2009/5/28 6:00,8.15,379
2009/5/28 7:00,8.29,473
2009/5/28 8:00,8.35,516
2009/5/28 9:00,8.38,537
2009/5/28 9:30,8.43,573
2009/5/28 10:18,8.43,573
2009/5/28 12:00,8.36,523
2009/5/28 13:00,8.32,495
2009/5/28 14:00,8.3,480
2009/5/28 16:00,8.23,431
2009/5/28 20:00,8.13,367
2009/5/28 22:00,8.05,321
2009/5/29 2:00,7.95,273
2009/5/29 4:00,7.92,260
2009/5/29 5:00,7.88,242
2009/5/29 5:42,7.84,225
2009/5/29 8:00,7.8,209
2009/5/29 10:00,7.77,197
2009/5/29 12:00,7.76,193
2009/5/29 18:00,7.68,160
2009/5/29 20:00,7.66,154
2009/5/30 8:00,7.52,106
2009/5/30 12:00,7.47,91.5
2009/5/30 17:48,7.42,79.8
2009/5/30 20:00,7.4,75.4
2009/5/31 8:00,7.31,56.9
2009/5/31 16:00,7.27,49.6
2009/5/31 20:00,7.24,44.5
2009/6/1 0:00,7.22,41.3
2009/6/1 4:00,7.21,39.8
2009/6/1 8:00,7.18,35.6
