,水位,流量
2009-05-27 08:00:00,6.73999977,4.48000002
2009-05-27 09:00:00,6.7399998275,4.480000015
2009-05-27 10:00:00,6.739999885,4.48000001
2009-05-27 11:00:00,6.7399999425,4.480000005000001
2009-05-27 12:00:00,6.74,4.48
2009-05-27 13:00:00,6.77,5.73000002
2009-05-27 14:00:00,6.82,8.15
2009-05-27 15:00:00,6.865,10.575
2009-05-27 16:00:00,6.91,13.0
2009-05-27 17:00:00,6.96,16.5
2009-05-27 18:00:00,7.01,20.0
2009-05-27 19:00:00,7.09,26.1
2009-05-27 20:00:00,7.27,49.6
2009-05-27 21:00:00,7.42,79.8
2009-05-27 22:00:00,7.47,91.5
2009-05-27 23:00:00,7.48,94.0
2009-05-28 00:00:00,7.49,96.5
2009-05-28 01:00:00,7.5,99.66666666666667
2009-05-28 02:00:00,7.51,102.83333333333333
2009-05-28 03:00:00,7.52,106.0
2009-05-28 04:00:00,7.54,112.0
2009-05-28 05:00:00,7.845000000000001,245.5
2009-05-28 06:00:00,8.15,379.0
2009-05-28 07:00:00,8.29,473.0
2009-05-28 08:00:00,8.35,516.0
2009-05-28 09:00:00,8.38,537.0
2009-05-28 10:00:00,8.373333333333333,532.3333333333334
2009-05-28 11:00:00,8.366666666666667,527.6666666666666
2009-05-28 12:00:00,8.36,523.0
2009-05-28 13:00:00,8.32,495.0
2009-05-28 14:00:00,8.3,480.0
2009-05-28 15:00:00,8.265,455.5
2009-05-28 16:00:00,8.23,431.0
2009-05-28 17:00:00,8.205,415.0
2009-05-28 18:00:00,8.18,399.0
2009-05-28 19:00:00,8.155000000000001,383.0
2009-05-28 20:00:00,8.13,367.0
2009-05-28 21:00:00,8.09,344.0
2009-05-28 22:00:00,8.05,321.0
2009-05-28 23:00:00,8.025,309.0
2009-05-29 00:00:00,8.0,297.0
2009-05-29 01:00:00,7.9750000000000005,285.0
2009-05-29 02:00:00,7.95,273.0
2009-05-29 03:00:00,7.9350000000000005,266.5
2009-05-29 04:00:00,7.92,260.0
2009-05-29 05:00:00,7.88,242.0
2009-05-29 06:00:00,7.8533333333333335,231.0
2009-05-29 07:00:00,7.826666666666666,220.0
2009-05-29 08:00:00,7.8,209.0
2009-05-29 09:00:00,7.785,203.0
2009-05-29 10:00:00,7.77,197.0
2009-05-29 11:00:00,7.765,195.0
2009-05-29 12:00:00,7.76,193.0
2009-05-29 13:00:00,7.746666666666666,187.5
2009-05-29 14:00:00,7.733333333333333,182.0
2009-05-29 15:00:00,7.72,176.5
2009-05-29 16:00:00,7.706666666666666,171.0
2009-05-29 17:00:00,7.693333333333333,165.5
2009-05-29 18:00:00,7.68,160.0
2009-05-29 19:00:00,7.67,157.0
2009-05-29 20:00:00,7.66,154.0
2009-05-29 21:00:00,7.648333333333333,150.0
2009-05-29 22:00:00,7.636666666666667,146.0
2009-05-29 23:00:00,7.625,142.0
2009-05-30 00:00:00,7.613333333333333,138.0
2009-05-30 01:00:00,7.601666666666667,134.0
2009-05-30 02:00:00,7.59,130.0
2009-05-30 03:00:00,7.578333333333333,126.0
2009-05-30 04:00:00,7.566666666666666,122.0
2009-05-30 05:00:00,7.555,118.0
2009-05-30 06:00:00,7.543333333333333,114.0
2009-05-30 07:00:00,7.531666666666666,110.0
2009-05-30 08:00:00,7.52,106.0
2009-05-30 09:00:00,7.507499999999999,102.375
2009-05-30 10:00:00,7.494999999999999,98.75
2009-05-30 11:00:00,7.4825,95.125
2009-05-30 12:00:00,7.47,91.5
2009-05-30 13:00:00,7.46125,89.4875
2009-05-30 14:00:00,7.4525,87.475
2009-05-30 15:00:00,7.44375,85.4625
2009-05-30 16:00:00,7.4350000000000005,83.45
2009-05-30 17:00:00,7.4262500000000005,81.4375
2009-05-30 18:00:00,7.4175,79.42500000000001
2009-05-30 19:00:00,7.40875,77.41250000000001
2009-05-30 20:00:00,7.4,75.4
2009-05-30 21:00:00,7.3925,73.85833333333333
2009-05-30 22:00:00,7.385,72.31666666666668
2009-05-30 23:00:00,7.3775,70.775
2009-05-31 00:00:00,7.37,69.23333333333333
2009-05-31 01:00:00,7.3625,67.69166666666666
2009-05-31 02:00:00,7.355,66.15
2009-05-31 03:00:00,7.3475,64.60833333333333
2009-05-31 04:00:00,7.34,63.06666666666667
2009-05-31 05:00:00,7.3325,61.525
2009-05-31 06:00:00,7.324999999999999,59.983333333333334
2009-05-31 07:00:00,7.3175,58.44166666666666
2009-05-31 08:00:00,7.31,56.9
2009-05-31 09:00:00,7.305,55.9875
2009-05-31 10:00:00,7.3,55.075
2009-05-31 11:00:00,7.295,54.1625
2009-05-31 12:00:00,7.289999999999999,53.25
2009-05-31 13:00:00,7.284999999999999,52.3375
2009-05-31 14:00:00,7.279999999999999,51.425
2009-05-31 15:00:00,7.2749999999999995,50.5125
2009-05-31 16:00:00,7.27,49.6
2009-05-31 17:00:00,7.262499999999999,48.325
2009-05-31 18:00:00,7.255,47.05
2009-05-31 19:00:00,7.2475000000000005,45.775
2009-05-31 20:00:00,7.24,44.5
2009-05-31 21:00:00,7.235,43.7
2009-05-31 22:00:00,7.23,42.9
2009-05-31 23:00:00,7.225,42.099999999999994
2009-06-01 00:00:00,7.22,41.3
2009-06-01 01:00:00,7.217499999999999,40.925
2009-06-01 02:00:00,7.215,40.55
2009-06-01 03:00:00,7.2125,40.175
2009-06-01 04:00:00,7.21,39.8
2009-06-01 05:00:00,7.2025,38.75
2009-06-01 06:00:00,7.195,37.7
2009-06-01 07:00:00,7.1875,36.65
2009-06-01 08:00:00,7.18,35.6
