,水位,流量
2009-07-21 16:18:00,6.91,13.0
2009-07-21 17:18:00,6.91,13.0
2009-07-21 18:18:00,6.91,13.0
2009-07-21 19:18:00,6.91,13.0
2009-07-21 20:18:00,6.91,13.0
2009-07-21 21:18:00,6.91,13.0
2009-07-21 22:18:00,6.91,13.0
2009-07-21 23:18:00,6.91,13.0
2009-07-22 00:18:00,6.91,13.0
2009-07-22 01:18:00,6.91,13.0
2009-07-22 02:18:00,6.91,13.0
2009-07-22 03:18:00,6.91,13.0
2009-07-22 04:18:00,6.91,13.0
2009-07-22 05:18:00,6.91,13.0
2009-07-22 06:18:00,6.91,13.0
2009-07-22 07:18:00,6.91,13.0
2009-07-22 08:18:00,6.91,13.0
2009-07-22 09:18:00,6.91,13.0
2009-07-22 10:18:00,6.91,13.0
2009-07-22 11:18:00,6.91,13.0
2009-07-22 12:18:00,6.91,13.0
2009-07-22 13:18:00,6.91,13.0
2009-07-22 14:18:00,6.91,13.0
2009-07-22 15:18:00,6.91,13.0
2009-07-22 16:18:00,6.91,13.0
2009-07-22 17:18:00,6.91,13.0
2009-07-22 18:18:00,6.91,13.0
2009-07-22 19:18:00,6.91,13.0
2009-07-22 20:18:00,6.91,13.0
2009-07-22 21:18:00,6.91,13.0
2009-07-22 22:18:00,6.91,13.0
2009-07-22 23:18:00,6.91,13.0
2009-07-23 00:18:00,6.91,13.0
2009-07-23 01:18:00,6.91,13.0
2009-07-23 02:18:00,6.91,13.0
2009-07-23 03:18:00,6.91,13.0
2009-07-23 04:18:00,6.91,13.0
2009-07-23 05:18:00,6.91,13.0
2009-07-23 06:18:00,6.91,13.0
2009-07-23 07:18:00,6.91,13.0
2009-07-23 08:18:00,6.91,13.0
2009-07-23 09:18:00,6.91,13.0
2009-07-23 10:18:00,6.91,13.0
2009-07-23 11:18:00,6.91,13.0
2009-07-23 12:18:00,6.91,13.0
2009-07-23 13:18:00,6.91,13.0
2009-07-23 14:18:00,6.91,13.0
2009-07-23 15:18:00,6.91,13.0
2009-07-23 16:18:00,6.91,13.0
2009-07-23 17:18:00,6.91,13.0
2009-07-23 18:18:00,6.91,13.0
2009-07-23 19:18:00,6.91,13.0
2009-07-23 20:18:00,6.91,13.0
2009-07-23 21:18:00,6.91,13.0
2009-07-23 22:18:00,6.91,13.0
2009-07-23 23:18:00,6.91,13.0
2009-07-24 00:18:00,6.91,13.0
2009-07-24 01:18:00,6.91,13.0
2009-07-24 02:18:00,6.91,13.0
2009-07-24 03:18:00,6.91,13.0
2009-07-24 04:18:00,6.91,13.0
2009-07-24 05:18:00,6.91,13.0
2009-07-24 06:18:00,6.91,13.0
2009-07-24 07:18:00,6.91,13.0
2009-07-24 08:18:00,6.91,13.0
2009-07-24 09:18:00,6.91,13.0
2009-07-24 10:18:00,6.91,13.0
2009-07-24 11:18:00,6.91,13.0
2009-07-24 12:18:00,6.91,13.0
2009-07-24 13:18:00,6.91,13.0
2009-07-24 14:18:00,6.91,13.0
2009-07-24 15:18:00,6.91,13.0
2009-07-24 16:18:00,6.91,13.0
2009-07-24 17:18:00,6.91,13.0
2009-07-24 18:18:00,6.91,13.0
2009-07-24 19:18:00,6.91,13.0
2009-07-24 20:18:00,6.91,13.0
2009-07-24 21:18:00,6.91,13.0
2009-07-24 22:18:00,6.91,13.0
2009-07-24 23:18:00,6.91,13.0
2009-07-25 00:18:00,6.91,13.0
2009-07-25 01:18:00,6.91,13.0
2009-07-25 02:18:00,6.91,13.0
2009-07-25 03:18:00,6.91,13.0
2009-07-25 04:18:00,6.91,13.0
2009-07-25 05:18:00,6.91,13.0
2009-07-25 06:18:00,6.91,13.0
2009-07-25 07:18:00,6.91,13.0
2009-07-25 08:18:00,6.91,13.0
2009-07-25 09:18:00,6.91,13.0
2009-07-25 10:18:00,6.91,13.0
2009-07-25 11:18:00,6.91,13.0
2009-07-25 12:18:00,6.91,13.0
2009-07-25 13:18:00,6.91,13.0
2009-07-25 14:18:00,6.91,13.0
2009-07-25 15:18:00,6.91,13.0
2009-07-25 16:18:00,6.91,13.0
2009-07-25 17:18:00,6.91,13.0
2009-07-25 18:18:00,6.91,13.0
2009-07-25 19:18:00,6.91,13.0
2009-07-25 20:18:00,6.91,13.0
2009-07-25 21:18:00,6.91,13.0
2009-07-25 22:18:00,6.91,13.0
2009-07-25 23:18:00,6.91,13.0
2009-07-26 00:18:00,6.91,13.0
2009-07-26 01:18:00,6.91,13.0
2009-07-26 02:18:00,6.91,13.0
2009-07-26 03:18:00,6.91,13.0
2009-07-26 04:18:00,6.91,13.0
2009-07-26 05:18:00,6.91,13.0
2009-07-26 06:18:00,6.91,13.0
2009-07-26 07:18:00,6.91,13.0
2009-07-26 08:18:00,6.91,13.0
2009-07-26 09:18:00,6.91,13.0
2009-07-26 10:18:00,6.91,13.0
2009-07-26 11:18:00,6.91,13.0
