,水位,流量
2011-09-17 08:00:00,7.61,154.0
2011-09-17 09:00:00,7.630000000000001,165.5
2011-09-17 10:00:00,7.65,177.0
2011-09-17 11:00:00,7.67,188.5
2011-09-17 12:00:00,7.69,200.0
2011-09-17 13:00:00,7.7175,219.25
2011-09-17 14:00:00,7.745,238.5
2011-09-17 15:00:00,7.7725,257.75
2011-09-17 16:00:00,7.8,277.0
2011-09-17 17:00:00,7.8275,299.75
2011-09-17 18:00:00,7.855,322.5
2011-09-17 19:00:00,7.8825,345.25
2011-09-17 20:00:00,7.91,368.0
2011-09-17 21:00:00,7.9725,422.75
2011-09-17 22:00:00,8.035,477.5
2011-09-17 23:00:00,8.0975,532.25
2011-09-18 00:00:00,8.16,587.0
2011-09-18 01:00:00,8.2,622.0
2011-09-18 02:00:00,8.24,657.0
2011-09-18 03:00:00,8.25,665.5
2011-09-18 04:00:00,8.26,674.0
2011-09-18 05:00:00,8.29,699.5
2011-09-18 06:00:00,8.32,725.0
2011-09-18 07:00:00,8.395,789.5
2011-09-18 08:00:00,8.47,854.0
2011-09-18 09:00:00,8.51,889.0
2011-09-18 10:00:00,8.53,906.0
2011-09-18 11:00:00,8.585,953.0
2011-09-18 12:00:00,8.64,1000.0
2011-09-18 13:00:00,8.745000000000001,1090.0
2011-09-18 14:00:00,8.85,1180.0
2011-09-18 15:00:00,8.91,1235.0
2011-09-18 16:00:00,8.97,1290.0
2011-09-18 17:00:00,9.030000000000001,1340.0
2011-09-18 18:00:00,9.09,1390.0
2011-09-18 19:00:00,9.15,1440.0
2011-09-18 20:00:00,9.2,1490.0
2011-09-18 21:00:00,9.239999999999998,1522.5
2011-09-18 22:00:00,9.28,1555.0
2011-09-18 23:00:00,9.32,1587.5
2011-09-19 00:00:00,9.36,1620.0
2011-09-19 01:00:00,9.370000000000001,1630.0
2011-09-19 02:00:00,9.38,1640.0
2011-09-19 03:00:00,9.42,1680.0
2011-09-19 04:00:00,9.42,1680.0
2011-09-19 05:00:00,9.38,1640.0
2011-09-19 06:00:00,9.27,1550.0
2011-09-19 07:00:00,9.219999999999999,1505.0
2011-09-19 08:00:00,9.17,1460.0
2011-09-19 09:00:00,9.0775,1380.0
2011-09-19 10:00:00,8.985,1300.0
2011-09-19 11:00:00,8.8925,1220.0
2011-09-19 12:00:00,8.8,1140.0
2011-09-19 13:00:00,8.72,1071.3333333333333
2011-09-19 14:00:00,8.64,1002.6666666666666
2011-09-19 15:00:00,8.56,934.0
2011-09-19 16:00:00,8.5,880.0
2011-09-19 17:00:00,8.485,867.0
2011-09-19 18:00:00,8.47,854.0
2011-09-19 19:00:00,8.385000000000002,781.0
2011-09-19 20:00:00,8.3,708.0
2011-09-19 21:00:00,8.280000000000001,691.0
2011-09-19 22:00:00,8.26,674.0
2011-09-19 23:00:00,8.225,643.5
2011-09-20 00:00:00,8.19,613.0
2011-09-20 01:00:00,8.155,582.5
2011-09-20 02:00:00,8.12,552.0
2011-09-20 03:00:00,8.1,535.0
2011-09-20 04:00:00,8.08,518.0
2011-09-20 05:00:00,8.075,513.5
2011-09-20 06:00:00,8.07,509.0
2011-09-20 07:00:00,8.035,478.5
2011-09-20 08:00:00,8.0,448.0
2011-09-20 09:00:00,7.9775,428.0
2011-09-20 10:00:00,7.955,408.0
2011-09-20 11:00:00,7.9325,388.0
2011-09-20 12:00:00,7.91,368.0
2011-09-20 13:00:00,7.8950000000000005,355.3333333333333
2011-09-20 14:00:00,7.88,342.6666666666667
2011-09-20 15:00:00,7.865,330.0
2011-09-20 16:00:00,7.8500000000000005,317.3333333333333
2011-09-20 17:00:00,7.835,304.6666666666667
2011-09-20 18:00:00,7.82,292.0
2011-09-20 19:00:00,7.795,273.5
2011-09-20 20:00:00,7.77,255.0
2011-09-20 21:00:00,7.757499999999999,246.25
2011-09-20 22:00:00,7.744999999999999,237.5
2011-09-20 23:00:00,7.7325,228.75
2011-09-21 00:00:00,7.72,220.0
2011-09-21 01:00:00,7.715,216.66666666666666
2011-09-21 02:00:00,7.71,213.33333333333334
2011-09-21 03:00:00,7.705,210.0
2011-09-21 04:00:00,7.7,206.66666666666666
2011-09-21 05:00:00,7.695,203.33333333333334
2011-09-21 06:00:00,7.69,200.0
2011-09-21 07:00:00,7.6850000000000005,197.0
2011-09-21 08:00:00,7.68,194.0
2011-09-21 09:00:00,7.675,191.25
2011-09-21 10:00:00,7.67,188.5
2011-09-21 11:00:00,7.665,185.75
2011-09-21 12:00:00,7.66,183.0
2011-09-21 13:00:00,7.65,177.0
2011-09-21 14:00:00,7.6433333333333335,173.0
2011-09-21 15:00:00,7.636666666666667,169.0
2011-09-21 16:00:00,7.63,165.0
2011-09-21 17:00:00,7.6274999999999995,163.58333333333334
2011-09-21 18:00:00,7.625,162.16666666666666
2011-09-21 19:00:00,7.6225,160.75
2011-09-21 20:00:00,7.62,159.33333333333334
2011-09-21 21:00:00,7.6175,157.91666666666666
2011-09-21 22:00:00,7.615,156.5
2011-09-21 23:00:00,7.6125,155.08333333333334
2011-09-22 00:00:00,7.609999999999999,153.66666666666666
2011-09-22 01:00:00,7.6075,152.25
2011-09-22 02:00:00,7.6049999999999995,150.83333333333334
2011-09-22 03:00:00,7.6025,149.41666666666666
2011-09-22 04:00:00,7.6,148.0
