时间,降雨量,时段
2009-05-13 04:01:00,0.2,0.01
2009-05-13 05:36:00,0.3,0.46
2009-05-13 09:38:00,0.1,0.48
2009-05-13 09:50:00,0.3,0.12
2009-05-13 10:40:00,0.8,0.12
2009-05-13 11:00:00,2.8,0.2
2009-05-13 11:04:00,1.0,0.04
2009-05-13 11:10:00,1.1,0.06
2009-05-13 11:30:00,1.7,0.2
2009-05-13 12:00:00,0.6,0.3
2009-05-13 12:46:00,0.2,0.46
2009-05-13 13:10:00,0.7,0.24
2009-05-13 15:05:00,0.7,1.0
2009-05-13 17:00:00,0.1,0.55
2009-05-13 17:27:00,0.3,0.27
2009-05-13 17:50:00,0.8,0.23
2009-05-13 18:18:00,2.1,0.28
2009-05-13 19:00:00,0.4,0.42
2009-05-13 19:40:00,1.3,0.14
2009-05-13 19:42:00,0.3,0.02
2009-05-13 20:50:00,0.7,0.2
2009-05-13 22:00:00,0.1,1.1
2009-05-13 23:00:00,0.1,1.0
2009-05-14 00:00:00,0.1,1.0
2009-05-14 01:00:00,0.9,1.0
2009-05-14 02:00:00,0.1,0.2
2009-05-14 03:00:00,0.4,1.0
2009-05-14 03:53:00,1.3,0.53
2009-05-14 04:44:00,0.2,0.14
2009-05-14 04:48:00,1.0,0.04
2009-05-14 05:00:00,0.8,0.12
2009-05-14 05:15:00,0.2,0.15
2009-05-14 06:30:00,1.3,0.25
2009-05-14 06:35:00,0.5,0.05
2009-05-14 06:48:00,1.9,0.13
2009-05-14 06:50:00,0.9,0.02
2009-05-14 07:00:00,1.0,0.1
2009-05-14 07:10:00,0.8,0.1
2009-05-14 08:00:00,5.6,0.5
2009-05-14 08:20:00,1.3,0.2
2009-05-14 08:49:00,0.5,0.29
2009-05-14 09:00:00,0.5,0.11
2009-05-14 10:00:00,0.3,1.0
2009-05-14 11:00:00,1.8,1.0
2009-05-14 12:00:00,0.9,1.0
2009-05-14 12:05:00,0.1,0.05
2009-05-14 13:00:00,0.7,0.2
2009-05-14 14:00:00,0.5,1.0
2009-05-14 14:03:00,0.1,0.03
2009-05-14 16:00:00,1.3,1.1
2009-05-14 18:00:00,0.9,2.0
2009-05-14 20:10:00,0.1,0.1
2009-05-14 21:00:00,0.1,0.1
2009-05-14 22:35:00,1.1,0.15
2009-05-14 23:00:00,0.1,0.25
2009-05-14 23:35:00,1.5,0.31
2009-05-15 00:00:00,0.8,0.25
2009-05-15 01:00:00,0.5,1.0
2009-05-15 01:49:00,0.2,0.49
2009-05-15 02:00:00,0.6,0.11
2009-05-15 02:20:00,0.6,0.2
2009-05-15 02:40:00,0.2,0.2
2009-05-15 03:00:00,1.0,0.2
2009-05-15 04:00:00,0.6,1.0
2009-05-15 04:21:00,0.1,0.21
2009-05-15 05:00:00,1.2,0.39
2009-05-15 05:45:00,1.1,0.45
2009-05-15 06:00:00,1.0,0.15
2009-05-15 06:20:00,0.6,0.2
2009-05-15 06:41:00,0.1,0.21
2009-05-15 07:10:00,0.9,0.29
2009-05-15 07:30:00,0.1,0.2
2009-05-15 07:50:00,0.4,0.2
2009-05-15 09:30:00,0.6,1.1
2009-05-15 15:20:00,0.2,0.25
2009-05-15 18:05:00,0.1,0.05
