time,q,prcp,et
2011/9/10 9:00,60,0.0,0
2011/9/10 10:00,58.8,0.0,0
2011/9/10 11:00,58.8,0.0,0
2011/9/10 12:00,57.5,0.0,0
2011/9/10 13:00,56.25,0.0,0
2011/9/10 14:00,55,0.0,0
2011/9/10 15:00,55,0.0,0
2011/9/10 16:00,54,0.0,0
2011/9/10 17:00,53,0.0,0
2011/9/10 18:00,52,0.0,0
2011/9/10 19:00,51,0.0,0
2011/9/10 20:00,50,0.0,0
2011/9/10 21:00,50,0.7,0
2011/9/10 22:00,49.1,0.8,0
2011/9/10 23:00,49.1,0.8,0
2011/9/11 0:00,49.1,0.9,0
2011/9/11 1:00,49.1,1.4,0
2011/9/11 2:00,49.1,1.6,0
2011/9/11 3:00,49.1,1.5,0
2011/9/11 4:00,49.1,1.6,0
2011/9/11 5:00,49.1,1.4,0
2011/9/11 6:00,49.1,2.2,0
2011/9/11 7:00,49.1,2.0,0
2011/9/11 8:00,49.1,1.7,0
2011/9/11 9:00,50,0.9,0
2011/9/11 10:00,50,0.9,0
2011/9/11 11:00,50,1.3,0
2011/9/11 12:00,50.4,1.9,0
2011/9/11 13:00,50.4,3.2,0
2011/9/11 14:00,51.7,2.6,0
2011/9/11 15:00,53.8,2.6,0
2011/9/11 16:00,55.8,2.8,0
2011/9/11 17:00,59.4,3.3,0
2011/9/11 18:00,63,3.2,0
2011/9/11 19:00,74.4,2.8,0
2011/9/11 20:00,82.5,2.7,0
2011/9/11 21:00,92,1.8,0
2011/9/11 22:00,108,1.9,0
2011/9/11 23:00,115,2.0,0
2011/9/12 0:00,149,2.2,0.1
2011/9/12 1:00,186,2.1,0.1
2011/9/12 2:00,239,2.2,0.1
2011/9/12 3:00,1040,1.0,0.1
2011/9/12 4:00,1290,0.9,0.1
2011/9/12 5:00,1390,0.9,0.1
2011/9/12 6:00,1490,0.9,0.1
2011/9/12 7:00,1530,0.7,0.1
2011/9/12 8:00,1530,0.8,0.1
2011/9/12 9:00,1500,0.2,0.1
2011/9/12 10:00,1460,0.1,0.1
2011/9/12 11:00,1410,0.0,0.1
2011/9/12 12:00,1340,0.0,0.1
2011/9/12 13:00,1315,0.0,0.1
2011/9/12 14:00,1290,0.0,0.1
