"q.data.q","Qsim"
4.489999771,0
4.489999771,0.66
4.489999771,0.86
4.489999771,1.14
4.489999771,2.34
4.489999771,3.8
4.489999771,5.66
4.489999771,8.9
4.489999771,13.3
4.489999771,17.89
5.917499781,20.92
7.34499979,24
8.7724998,26.08
10.19999981,27.71
12.79999991,30.77
15.4,37.44
23.45,47.66
31.5,63.12
32.04999924,77.9
32.59999847,87.4
32.59999924,93.74
32.6,98.27
41.97499962,107.82
51.34999924,112.79
60.72499885,117.97
70.09999847,125.65
80.2,138.34
96.90000153,155.67
93.04999924,178.49
89.19999695,203.5
84.5,221.84
86.93333435,216.72
89.3666687,189.02
91.80000305,165.31
174,165.3
230,171.43
261,196.22
266,236
279,284.56
279,327.19
279,325.57
279,258.74
270,195.55
261,175
248,170.36
226,161.05
215,131.43
204,129.65
202,130.48
200,132.53
198,131.83
196,125.82
183,111.74
170,105.53
164,103.85
158,103.04
145.5,102.75
133,102.81
120.5,102.88
108,102.74
105.225,102.24
102.45,101.54
99.675,100.63
96.9,99.61
94.35000153,98.8
91.80000305,98.27
85.40000229,97.98
79.00000153,97.7
72.60000076,97.43
66.2,97.17
65.3,96.92
64.4,96.67
63.5,96.42
62.6,96.19
61.7,95.95
60.8,95.73
59.9,95.5
59,95.28
55.8,95.07
52.6,94.85
51.49,94.64
50.38,94.43
49.27,94.23
48.16,94.02
47.05,93.82
45.94,93.62
44.83,93.42
43.72,93.23
42.61,93.03
41.5,92.84
40.2,92.64
38.9,92.45
36.99999924,92.26
35.09999847,92.07
34.47499885,91.88
33.84999924,91.69
33.22499962,91.51
32.6,91.32
31.825,91.13
31.05,90.95
30.275,90.76
29.5,90.58
28.15,90.4
26.8,90.21
25.45,90.03
24.1,89.85
23.55833337,89.67
23.01666673,89.49
22.4750001,89.31
21.93333346,89.13
21.39166683,88.95
20.85000019,88.77
20.30833356,88.59
19.76666692,88.41
19.22500029,88.24
18.68333365,88.06
18.14166702,87.88
17.60000038,87.71
17.41250033,87.53
17.22500029,87.36
17.03750024,87.18
16.85000019,87.01
16.66250014,86.83
16.4750001,86.66
16.28750005,86.49
16.1,86.31
15.77500005,86.14
15.4500001,85.97
15.12500014,85.79
14.80000019,85.62
14.68333349,85.45
14.56666679,85.28
14.4500001,85.11
14.3333334,84.94
14.2166667,84.77
14.1,84.6
13.75,84.43
13.4,84.26
13.19166664,84.09
12.98333327,83.93
12.77499991,83.76
12.56666654,83.59
12.35833318,83.42
12.14999981,83.26
11.94166645,83.09
11.73333308,82.92
11.52499972,82.76
11.31666635,82.59
11.10833298,82.43
10.89999962,82.26
10.75333297,82.1
10.60666632,81.93
10.45999967,81.77
10.31333302,81.61
10.16666637,81.44
10.01999971,81.28
9.873333064,81.12
9.726666413,80.95
9.579999763,80.79
9.433333112,80.63
9.286666461,80.47
9.13999981,80.31
8.993333159,80.15
8.846666508,79.99
8.699999858,79.83
8.553333207,79.67
8.406666556,79.51
8.259999905,79.35
8.113333254,79.19
7.966666603,79.03
7.819999953,78.87
7.673333302,78.72
7.526666651,78.56
7.38,78.4
7.215000008,78.25
7.050000016,78.09
6.885000024,77.93
6.720000032,77.78
6.55500004,77.62
6.390000048,77.47
6.225000055,77.31
6.060000063,77.16
5.895000071,77
5.730000079,76.85
5.565000087,76.69
5.400000095,76.54
5.400000087,76.39
5.400000079,76.24
5.400000071,76.08
5.400000063,75.93
5.400000055,75.78
5.400000048,75.63
5.40000004,75.48
5.400000032,75.32
5.400000024,75.17
5.400000016,75.02
5.400000008,74.87
5.4,74.72
