"q.data.q","Qsim"
60,0
58.8,9.48
58.8,17.32
57.5,23.75
56.25,28.94
55,33.07
55,36.29
54,38.72
53,40.48
52,41.66
51,42.36
50,42.64
50,43.5
49.1,44.99
49.1,47.02
49.1,49.63
49.1,53.42
49.1,58.52
49.1,64.6
49.1,71.66
49.1,79.29
49.1,88.6
49.1,99.18
49.1,110.42
50,120.97
50,130.9
50,141.09
50.4,152.7
50.4,168.14
51.7,186.36
53.8,208.79
55.8,234.28
59.4,264.09
63,298.45
74.4,336.91
82.5,380.42
92,428.49
108,500.48
115,580.56
149,654.71
186,723.57
239,788.89
1040,847.41
1290,901.83
1390,955.11
1490,1008.67
1530,1060.98
1530,1110.64
1500,1153.27
1460,1188.14
1410,1199.73
1340,1204.45
1315,1201.86
1290,1191.35
1240,1173.54
1190,1149.03
1136.666667,1116.25
1083.333333,1071.2
1030,1009.7
981,930.82
940.25,840.66
899.5,749.36
858.75,666.95
818,599.13
807,545.11
796,502.3
760.5,467.39
725,439.18
689.5,422.37
654,416.86
577,419.91
532,428.68
525.5,446.25
519,469.92
519,497.42
519,527.59
525.5,560.48
532,592.6
565,622.14
598,651.37
622.5,684.95
647,720.83
717.5,761.86
788,808.48
854.5,858.42
921,908.83
955,960.88
989,1015.43
1050,1065.72
1130,1110.35
1145,1146.15
1160,1172.26
1175,1186.97
1190,1189.45
1190,1182.35
1170,1173.28
1140,1165.38
1110,1161.32
1020,1160.87
986,1160.13
913,1150.33
840,1124.18
767,1080.98
725,1023.2
697,956.72
669,885.2
641,811.05
613,737.54
585.5,668.77
558,613.03
530.5,574.47
503,548.38
475.5,528.12
448,509.22
415.8333333,490.19
383.6666667,470.29
351.5,450.15
319.3333333,431.15
287.1666667,414.6
255,400.31
248,387.33
241,374.58
241,360.75
241,344.74
237.5,326.35
234,306.71
230.5,287.88
227,271.73
223.5,258.46
220,247.09
213.5,236.87
207,227.35
200.5,218.29
194,209.62
191.7,201.32
189.4,193.42
187.1,185.98
184.8,179.06
182.5,172.59
180.2,166.49
177.9,160.74
175.6,155.32
173.3,150.22
171,145.42
169.1666667,141.43
167.3333333,138.15
165.5,136.53
163.6666667,136.31
161.8333333,138.82
160,142.54
159,153.97
158,166.54
157,178.43
156,188.66
155,197.95
154,206.42
